id,date,customer_id,product_id,quantity,amount,discount,status,region
66,2025-02-04,159,11,8,199.92,0,completed,East
67,2024-07-16,129,18,9,1349.91,0,completed,South
68,2024-04-01,143,15,4,39.96,0,completed,North
69,2024-02-01,141,12,3,11.97,0,completed,East
70,2024-02-28,155,10,9,1025.91,0.05,pending,South
71,2025-10-29,19,17,10,3999.9,0,completed,East
72,2024-05-11,181,7,9,539.91,0,completed,West
73,2025-03-01,119,11,8,199.92,0,completed,South
74,2025-03-19,12,14,7,34.93,0,pending,East
75,2025-09-06,144,22,6,215.95,0.1,completed,North
76,2024-09-29,7,14,1,4.24,0.15,completed,West
77,2024-08-08,15,14,6,28.44,0.05,completed,West
78,2025-08-02,82,18,2,299.98,0,completed,North
79,2024-05-31,43,8,4,305.97,0.15,completed,South
80,2024-01-03,197,3,4,1259.96,0.1,completed,West
81,2025-09-07,53,9,3,203.97,0.15,completed,East
82,2025-11-22,145,25,10,699.9,0,pending,South
83,2025-05-03,167,1,3,2699.97,0,pending,South
84,2025-03-07,97,5,2,599.98,0,completed,South
85,2025-11-19,119,12,5,19.95,0,pending,South
86,2024-02-10,24,2,5,2999.95,0,completed,South
87,2025-01-28,66,16,4,949.96,0.05,refunded,East
88,2024-09-08,158,1,9,8099.91,0,completed,East
89,2024-10-21,200,1,4,3599.96,0,completed,South
90,2025-05-07,159,22,10,399.9,0,completed,East
91,2025-12-28,135,21,10,1234.9,0.05,completed,South
92,2025-05-16,148,20,9,485.92,0.1,completed,North
93,2024-07-15,27,22,9,359.91,0,completed,North
94,2024-11-24,33,10,4,479.96,0,refunded,South
95,2025-01-21,182,22,3,119.97,0,completed,North
96,2025-12-26,176,4,1,149.99,0,completed,East
97,2024-12-27,31,2,5,2699.95,0.1,completed,South
98,2025-08-08,55,7,4,239.96,0,completed,South
99,2024-03-08,164,18,2,254.98,0.15,completed,East
100,2025-04-12,127,17,2,679.98,0.15,completed,South
101,2025-05-25,80,17,9,3059.92,0.15,refunded,East
102,2025-08-30,53,14,2,9.98,0,refunded,East
103,2025-06-21,52,15,6,53.95,0.1,completed,North
104,2024-07-12,37,3,8,2379.93,0.15,completed,South
105,2025-09-30,176,20,6,341.94,0.05,completed,East
106,2025-09-11,198,2,4,2159.96,0.1,completed,East
107,2025-07-20,125,10,6,647.95,0.1,refunded,North
108,2024-03-12,80,19,6,4319.95,0.1,completed,East
109,2025-11-14,158,19,9,7199.91,0,refunded,East
110,2025-07-07,194,17,6,2159.95,0.1,completed,West
111,2025-05-02,184,8,9,728.92,0.1,completed,East
112,2025-01-30,140,18,7,1049.93,0,pending,East
113,2024-05-25,84,11,5,124.95,0,completed,South
114,2025-02-28,103,3,6,2099.94,0,completed,East
115,2024-05-25,166,6,2,56.98,0.05,pending,West
116,2024-11-18,16,21,8,1039.92,0,completed,South
117,2024-12-11,34,7,4,239.96,0,completed,East
118,2025-06-28,184,17,6,2159.95,0.1,refunded,East
119,2024-11-03,121,20,6,341.94,0.05,pending,East
120,2024-09-10,11,11,7,174.93,0,completed,South
121,2025-10-28,86,19,5,3999.95,0,completed,West
122,2024-08-27,108,4,9,1349.91,0,completed,East
123,2024-08-01,147,18,5,637.46,0.15,completed,East
124,2024-01-24,108,19,10,6799.91,0.15,completed,East
125,2025-04-16,80,6,10,299.9,0,completed,East
126,2024-05-29,98,18,8,1079.93,0.1,pending,West
127,2025-05-25,149,12,9,34.11,0.05,refunded,East
128,2024-05-29,85,22,3,119.97,0,completed,South
129,2025-02-01,130,19,4,2879.96,0.1,completed,East
130,2025-05-05,158,3,6,1889.95,0.1,pending,East
131,2025-01-16,95,7,6,341.94,0.05,completed,North
132,2024-01-02,46,2,8,4799.92,0,pending,North
133,2024-06-06,177,24,8,3399.93,0.15,completed,East
134,2025-11-06,44,4,10,1424.9,0.05,completed,South
135,2024-01-10,185,15,10,94.91,0.05,refunded,North
136,2025-07-19,142,6,8,239.92,0,pending,North
137,2025-04-22,33,20,1,53.99,0.1,completed,South
138,2025-08-07,122,1,3,2429.97,0.1,refunded,North
139,2024-06-09,167,1,8,7199.92,0,completed,South
140,2025-12-22,119,1,4,3599.96,0,completed,South
141,2024-01-09,121,4,8,1079.93,0.1,pending,East
142,2024-04-07,64,15,7,62.94,0.1,pending,West
143,2024-10-24,136,7,2,113.98,0.05,completed,West
144,2024-10-11,2,11,9,202.42,0.1,completed,South
145,2024-09-15,109,7,4,203.97,0.15,refunded,South
146,2025-04-26,192,25,7,489.93,0,completed,West
147,2025-09-22,19,24,7,3324.93,0.05,completed,East
148,2024-11-13,78,8,10,764.91,0.15,completed,North
149,2025-02-28,39,12,10,37.91,0.05,completed,South
150,2025-08-09,163,20,8,431.93,0.1,pending,West
151,2024-02-19,37,18,4,599.96,0,completed,South
152,2024-07-27,84,7,3,161.97,0.1,completed,South
153,2025-12-28,150,3,7,2327.43,0.05,pending,South
154,2024-01-03,144,17,2,679.98,0.15,completed,North
155,2025-07-15,129,9,9,611.92,0.15,completed,South
156,2024-12-30,186,12,6,23.94,0,completed,South
157,2024-12-31,153,7,7,356.94,0.15,refunded,North
158,2024-09-12,119,18,4,599.96,0,completed,South
159,2025-06-08,153,17,7,2799.93,0,completed,North
160,2025-06-16,128,1,3,2699.97,0,completed,South
161,2025-05-06,126,12,7,27.93,0,completed,North
162,2024-05-03,53,3,9,2834.92,0.1,pending,East
163,2025-02-25,173,13,2,29.98,0,completed,South
164,2024-09-14,52,5,5,1499.95,0,completed,North
165,2025-05-09,105,17,6,2399.94,0,completed,South
166,2024-08-30,13,4,1,149.99,0,refunded,West
167,2024-08-28,21,17,4,1599.96,0,completed,South
168,2024-09-01,13,13,3,42.72,0.05,completed,West
169,2024-08-29,83,11,4,99.96,0,completed,West
170,2025-02-05,5,14,2,8.48,0.15,completed,North
171,2025-07-29,134,19,10,7999.9,0,completed,East
172,2024-05-08,46,15,9,85.41,0.05,pending,North
173,2025-04-20,123,17,8,3199.92,0,refunded,West
174,2024-10-05,105,10,4,479.96,0,completed,South
175,2024-11-21,41,22,10,399.9,0,refunded,North
176,2025-04-28,42,2,10,5999.9,0,refunded,South
177,2024-11-11,110,6,8,203.93,0.15,completed,West
178,2024-12-16,53,3,6,2099.94,0,completed,East
179,2024-10-31,158,7,6,341.94,0.05,pending,East
180,2025-01-28,26,18,6,809.95,0.1,refunded,West
181,2024-01-10,36,21,5,617.45,0.05,completed,West
182,2024-11-29,124,8,1,89.99,0,completed,East
183,2024-04-15,187,10,9,1079.91,0,completed,North
184,2024-02-01,196,5,3,809.97,0.1,completed,East
185,2024-05-02,161,24,5,2374.95,0.05,completed,East
186,2025-10-21,169,15,1,9.49,0.05,refunded,West
187,2024-09-18,169,13,8,113.92,0.05,completed,West
188,2025-02-03,181,25,8,503.93,0.1,refunded,West
189,2025-10-10,89,25,1,69.99,0,completed,East
190,2024-11-09,178,20,10,539.91,0.1,completed,West
191,2025-01-15,132,9,9,647.92,0.1,completed,West
192,2024-04-30,121,12,8,31.92,0,completed,East
193,2025-01-05,168,15,2,19.98,0,completed,East
194,2024-05-06,15,2,6,3599.94,0,completed,West
195,2024-11-22,119,16,10,2374.91,0.05,pending,South
196,2025-06-05,38,14,9,44.91,0,completed,North
197,2024-04-09,42,8,5,427.45,0.05,completed,South
198,2025-10-04,102,8,1,89.99,0,pending,West
199,2024-06-12,65,4,4,509.97,0.15,completed,North
200,2025-11-16,100,4,2,299.98,0,completed,North
201,2025-06-18,4,2,10,5399.91,0.1,pending,West
202,2024-03-17,127,20,2,119.98,0,refunded,South
203,2024-10-14,24,17,7,2379.94,0.15,completed,South
204,2024-02-12,91,20,8,431.93,0.1,completed,South
205,2024-12-22,50,7,1,59.99,0,completed,East
206,2025-04-14,74,19,6,4799.94,0,completed,South
207,2024-07-10,129,18,4,599.96,0,completed,South
208,2025-02-17,10,6,4,119.96,0,completed,West
209,2024-02-10,148,16,3,749.97,0,completed,North
210,2024-01-15,121,2,5,2999.95,0,completed,East
211,2024-02-26,196,15,10,99.9,0,completed,East
212,2024-08-07,19,10,6,647.95,0.1,completed,East
213,2024-08-10,94,23,7,503.94,0.1,completed,West
214,2025-10-13,54,25,4,265.96,0.05,pending,East
215,2024-07-22,114,10,1,119.99,0,completed,South
216,2025-06-18,198,20,5,284.95,0.05,completed,East
217,2024-05-26,44,23,8,543.93,0.15,completed,South
218,2024-10-24,56,1,2,1529.98,0.15,completed,South
219,2024-06-30,26,20,8,479.92,0,completed,West
220,2024-04-17,154,18,5,637.46,0.15,pending,South
221,2025-04-26,87,4,10,1499.9,0,refunded,South
222,2024-06-17,27,21,5,649.95,0,completed,North
223,2025-09-29,68,12,1,3.79,0.05,completed,East
224,2025-10-14,3,2,4,2399.96,0,pending,North
225,2025-06-21,140,22,6,239.94,0,completed,East
226,2024-05-22,16,20,9,512.91,0.05,completed,South
227,2024-04-02,30,7,4,215.96,0.1,completed,North
228,2025-08-31,146,5,9,2699.91,0,completed,West
229,2025-01-19,190,16,4,899.96,0.1,completed,West
230,2024-01-22,115,15,9,89.91,0,refunded,North
231,2025-08-28,50,22,2,79.98,0,completed,East
232,2025-10-22,101,8,8,683.92,0.05,completed,South
233,2025-09-17,9,23,10,719.91,0.1,refunded,East
234,2024-06-03,76,13,5,74.95,0,completed,West
235,2024-03-17,194,25,6,356.95,0.15,pending,West
236,2024-07-02,64,3,9,2992.41,0.05,completed,West
237,2025-12-26,154,15,7,69.93,0,completed,South
238,2025-09-08,151,3,8,2799.92,0,pending,North
239,2024-02-02,100,19,1,759.99,0.05,completed,North
240,2024-09-08,61,4,4,599.96,0,completed,South
241,2024-01-12,32,7,1,50.99,0.15,completed,North
242,2024-10-11,91,21,4,467.96,0.1,pending,South
243,2025-09-02,139,16,7,1749.93,0,completed,West
244,2024-06-09,111,4,1,149.99,0,completed,South
245,2025-10-09,43,5,9,2564.91,0.05,completed,South
246,2024-10-03,167,18,3,449.97,0,completed,South
247,2025-01-03,79,7,6,359.94,0,pending,North
248,2024-01-24,75,24,9,4049.92,0.1,completed,East
249,2025-07-26,169,20,9,512.91,0.05,completed,West
250,2025-02-22,84,1,8,6119.93,0.15,completed,South
251,2024-02-24,132,25,10,699.9,0,completed,West
252,2025-11-28,117,5,6,1799.94,0,completed,South
253,2024-05-01,199,10,3,359.97,0,pending,South
254,2025-05-31,43,8,7,629.93,0,completed,South
255,2025-07-27,172,17,8,2879.93,0.1,completed,West
256,2024-04-17,29,15,10,94.91,0.05,pending,West
257,2024-03-23,17,1,1,809.99,0.1,completed,South
258,2025-08-04,61,5,7,2099.93,0,pending,South
259,2024-08-25,180,24,3,1499.97,0,completed,East
260,2025-02-21,140,17,7,2799.93,0,completed,East
261,2024-03-01,41,12,1,3.39,0.15,completed,North
262,2025-11-20,102,23,4,287.96,0.1,refunded,West
263,2024-04-12,105,16,2,499.98,0,pending,South
264,2025-12-25,3,2,6,3059.95,0.15,completed,North
265,2024-12-01,45,22,10,379.91,0.05,completed,South
266,2024-07-12,55,25,10,699.9,0,pending,South
267,2025-07-14,107,25,2,118.98,0.15,completed,South
268,2024-04-16,110,19,10,7999.9,0,completed,West
269,2025-08-30,159,6,9,229.42,0.15,completed,East
270,2024-09-10,48,25,6,419.94,0,completed,South
271,2024-02-17,118,13,3,38.22,0.15,completed,South
272,2024-07-01,125,15,4,39.96,0,completed,North
273,2025-01-29,110,3,6,2099.94,0,completed,West
274,2024-06-23,134,15,5,49.95,0,refunded,East
275,2024-10-05,192,9,10,719.91,0.1,refunded,West
276,2024-04-15,35,19,5,3999.95,0,completed,South
277,2024-11-15,180,12,1,3.79,0.05,completed,East
278,2024-11-10,109,5,1,254.99,0.15,completed,South
279,2025-12-05,142,24,2,999.98,0,completed,North
280,2024-07-17,2,10,9,1025.91,0.05,pending,South
281,2025-01-03,193,7,7,419.93,0,refunded,West
282,2024-03-01,50,24,3,1499.97,0,completed,East
283,2025-06-20,70,9,3,239.97,0,refunded,West
284,2025-05-04,119,18,8,1199.92,0,refunded,South
285,2025-07-09,13,22,6,215.95,0.1,completed,West
286,2025-11-07,128,5,5,1349.96,0.1,refunded,South
287,2024-07-23,115,3,9,3149.91,0,completed,North
288,2025-09-12,40,23,9,683.91,0.05,completed,East
289,2025-04-26,200,11,10,249.9,0,completed,South
290,2024-04-27,17,16,6,1424.94,0.05,completed,South
291,2025-07-06,23,15,8,79.92,0,refunded,East
292,2025-01-25,141,16,4,999.96,0,completed,East
293,2025-01-01,147,19,8,5759.93,0.1,completed,East
294,2025-09-15,170,23,3,239.97,0,completed,West
295,2024-06-19,89,22,7,279.93,0,completed,East
296,2025-01-04,114,8,6,458.95,0.15,completed,South
297,2025-10-14,188,8,9,809.91,0,completed,North
298,2024-09-23,177,19,9,6839.91,0.05,pending,East
299,2024-02-14,136,8,9,809.91,0,completed,West
300,2024-07-01,109,9,2,143.98,0.1,completed,South
301,2025-03-05,161,1,3,2294.97,0.15,refunded,East
302,2025-08-24,171,7,3,152.97,0.15,completed,South
303,2024-11-02,81,5,8,2279.92,0.05,completed,North
304,2025-03-19,58,8,5,449.95,0,pending,South
305,2024-07-21,135,12,6,22.74,0.05,completed,South
306,2024-09-21,70,20,9,539.91,0,completed,West
307,2025-09-03,18,25,2,118.98,0.15,refunded,East
308,2025-06-24,199,15,1,9.49,0.05,pending,South
309,2024-06-27,138,17,6,2399.94,0,completed,West
310,2025-07-31,169,19,1,799.99,0,pending,West
311,2025-07-29,88,1,1,854.99,0.05,refunded,West
312,2024-09-22,56,10,7,797.93,0.05,pending,South
313,2024-05-06,13,19,5,3999.95,0,completed,West
314,2024-07-08,12,19,5,3999.95,0,completed,East
315,2024-01-25,151,2,1,599.99,0,completed,North
316,2025-02-02,143,8,3,269.97,0,completed,North
317,2024-07-23,3,21,10,1299.9,0,completed,North
318,2025-09-23,170,9,7,475.94,0.15,pending,West
319,2025-05-11,96,24,5,2124.96,0.15,completed,West
320,2025-11-25,57,1,7,6299.93,0,completed,East
321,2025-04-18,27,25,9,629.91,0,completed,North
322,2024-04-15,146,8,4,323.96,0.1,pending,West
323,2024-05-27,94,3,4,1399.96,0,pending,West
324,2024-02-19,192,11,1,22.49,0.1,completed,West
325,2025-03-30,71,17,8,3199.92,0,completed,West
326,2024-06-30,25,24,3,1499.97,0,refunded,South
327,2025-02-05,6,25,3,188.97,0.1,completed,East
328,2024-09-09,45,17,3,1199.97,0,completed,South
329,2024-01-19,103,2,3,1619.97,0.1,pending,East
330,2024-08-12,25,1,5,4499.95,0,completed,South
331,2024-11-02,31,7,2,101.98,0.15,completed,South
332,2025-04-07,84,5,4,1199.96,0,completed,South
333,2024-01-28,138,7,5,299.95,0,completed,West
334,2025-02-27,183,8,2,179.98,0,completed,East
335,2025-08-04,174,9,6,407.95,0.15,completed,West
336,2025-04-14,111,23,10,799.9,0,completed,South
337,2024-03-14,27,24,1,474.99,0.05,completed,North
338,2024-08-23,74,7,6,359.94,0,completed,South
339,2025-08-04,2,25,4,279.96,0,completed,South
340,2025-06-19,79,11,9,224.91,0,completed,North
341,2025-12-06,20,6,2,50.98,0.15,completed,South
342,2025-01-28,135,17,10,3599.91,0.1,completed,South
343,2025-10-31,136,24,4,1999.96,0,pending,West
344,2025-01-16,72,5,8,2399.92,0,pending,North
345,2024-05-15,117,12,5,19.95,0,pending,South
346,2025-05-03,174,2,6,3419.94,0.05,completed,West
347,2025-02-23,116,11,3,67.47,0.1,completed,West
348,2025-04-12,31,5,5,1349.96,0.1,pending,South
349,2024-01-22,80,5,1,284.99,0.05,completed,East
350,2024-10-21,126,14,4,19.96,0,refunded,North
351,2025-05-03,11,24,4,1999.96,0,completed,South
352,2024-02-02,110,3,9,2992.41,0.05,completed,West
353,2025-10-22,93,25,8,559.92,0,refunded,West
354,2024-01-01,56,22,8,303.92,0.05,completed,South
355,2024-04-30,161,7,10,599.9,0,completed,East
356,2024-10-08,89,3,1,332.49,0.05,completed,East
357,2025-08-15,46,14,9,44.91,0,completed,North
358,2024-11-16,4,13,3,44.97,0,completed,West
359,2024-09-16,15,13,4,59.96,0,completed,West
360,2025-10-01,136,24,6,2699.95,0.1,pending,West
361,2025-07-09,111,13,5,71.2,0.05,pending,South
362,2024-08-04,20,20,5,299.95,0,completed,South
363,2024-06-03,172,4,7,944.94,0.1,completed,West
364,2024-09-11,176,3,3,944.97,0.1,completed,East
365,2024-08-28,181,24,2,949.98,0.05,refunded,West
366,2024-08-14,97,23,5,379.95,0.05,completed,South
367,2025-02-01,67,10,8,863.93,0.1,pending,North
368,2025-02-20,17,9,3,239.97,0,completed,South
369,2024-06-07,172,13,6,89.94,0,refunded,West
370,2024-06-02,163,19,6,4799.94,0,completed,West
371,2024-09-06,8,17,3,1019.97,0.15,pending,East
372,2024-02-29,187,25,5,332.45,0.05,completed,North
373,2025-10-01,23,22,3,101.97,0.15,completed,East
374,2025-11-16,118,6,9,229.42,0.15,refunded,South
375,2025-07-11,161,7,4,239.96,0,completed,East
376,2024-06-18,196,11,10,249.9,0,pending,East
377,2024-05-12,155,11,7,166.18,0.05,refunded,South
378,2024-08-29,160,5,2,599.98,0,completed,North
379,2025-10-07,131,2,6,3059.95,0.15,completed,North
380,2025-11-02,133,13,5,74.95,0,completed,South
381,2024-04-22,82,14,7,34.93,0,completed,North
382,2024-05-11,146,8,3,269.97,0,pending,West
383,2025-12-27,106,6,6,179.94,0,completed,North
384,2024-06-05,192,17,9,3599.91,0,pending,West
385,2024-09-15,38,7,6,359.94,0,completed,North
386,2025-08-01,15,7,10,599.9,0,completed,West
387,2025-11-07,52,5,1,299.99,0,completed,North
388,2024-08-26,41,18,6,809.95,0.1,completed,North
389,2024-09-16,79,1,1,899.99,0,completed,North
390,2024-08-26,196,16,2,499.98,0,refunded,East
391,2025-01-04,160,16,4,999.96,0,completed,North
392,2024-07-19,104,21,3,331.47,0.15,refunded,West
393,2025-02-10,13,24,10,4749.9,0.05,completed,West
394,2025-02-18,32,14,5,23.7,0.05,refunded,North
395,2025-04-14,30,19,3,2039.97,0.15,completed,North
396,2024-08-02,30,2,2,1019.98,0.15,pending,North
397,2024-07-19,101,24,8,3399.93,0.15,completed,South
398,2025-10-28,96,18,3,449.97,0,completed,West
399,2024-09-13,184,12,1,3.99,0,completed,East
400,2025-05-14,200,6,2,59.98,0,refunded,South
401,2025-11-12,187,16,6,1499.94,0,refunded,North
402,2024-04-25,140,17,6,2279.94,0.05,completed,East
403,2025-12-17,111,13,1,14.24,0.05,completed,South
404,2024-05-27,110,14,2,9.98,0,refunded,West
405,2025-10-26,52,21,10,1234.9,0.05,refunded,North
406,2025-12-05,111,9,3,227.97,0.05,completed,South
407,2024-03-03,186,9,1,79.99,0,completed,South
408,2025-09-28,10,24,9,4499.91,0,completed,West
409,2024-03-03,178,15,9,76.42,0.15,completed,West
410,2024-02-09,198,3,8,2659.92,0.05,completed,East
411,2025-02-19,165,8,3,229.47,0.15,pending,South
412,2024-12-01,121,17,5,1799.96,0.1,pending,East
413,2024-10-18,46,4,10,1349.91,0.1,completed,North
414,2024-10-30,85,18,7,944.94,0.1,pending,South
415,2025-06-27,105,6,7,209.93,0,pending,South
416,2025-04-28,166,21,9,1169.91,0,refunded,West
417,2024-12-07,76,15,3,29.97,0,completed,West
418,2024-12-26,67,21,4,519.96,0,refunded,North
419,2024-01-07,55,16,3,749.97,0,refunded,South
420,2025-09-23,89,2,5,2699.95,0.1,completed,East
421,2024-12-12,173,13,2,26.98,0.1,pending,South
422,2024-01-11,172,5,6,1709.94,0.05,completed,West
423,2025-12-02,88,15,6,53.95,0.1,completed,West
424,2024-02-05,99,16,1,224.99,0.1,completed,South
425,2025-09-26,160,18,7,1049.93,0,completed,North
426,2024-10-17,98,23,1,79.99,0,refunded,West
427,2024-08-27,188,14,4,17.96,0.1,refunded,North
428,2024-07-25,14,25,4,279.96,0,completed,East
429,2024-03-26,42,8,4,323.96,0.1,completed,South
430,2025-12-15,24,2,2,1199.98,0,pending,South
431,2024-04-01,181,4,10,1274.91,0.15,pending,West
432,2025-07-28,180,16,6,1499.94,0,pending,East
433,2024-09-17,45,12,10,33.92,0.15,completed,South
434,2024-09-10,69,8,8,719.92,0,completed,South
435,2024-09-28,68,15,5,49.95,0,pending,East
436,2024-12-24,130,22,1,39.99,0,completed,East
437,2024-07-25,19,3,10,3324.9,0.05,completed,East
438,2024-03-10,113,12,9,35.91,0,refunded,South
439,2025-09-18,181,22,3,119.97,0,pending,West
440,2024-05-10,173,1,7,6299.93,0,completed,South
441,2024-10-01,123,15,9,85.41,0.05,pending,West
442,2024-11-26,104,20,6,359.94,0,pending,West
443,2025-07-20,186,15,8,71.93,0.1,refunded,South
444,2024-04-21,35,2,8,4079.93,0.15,completed,South
445,2024-03-15,62,7,4,203.97,0.15,completed,North
446,2024-12-17,5,24,9,4499.91,0,refunded,North
447,2025-04-10,13,15,1,9.99,0,completed,West
448,2025-12-01,22,22,7,279.93,0,pending,North
449,2025-11-07,157,17,9,3239.92,0.1,completed,East
450,2025-07-11,142,4,5,749.95,0,refunded,North
451,2025-03-26,108,22,7,279.93,0,pending,East
452,2025-07-15,177,4,6,854.94,0.05,refunded,East
453,2024-09-25,64,15,5,42.46,0.15,pending,West
454,2024-08-18,116,20,8,407.93,0.15,pending,West
455,2024-06-08,76,25,4,279.96,0,refunded,West
456,2024-10-28,34,22,2,71.98,0.1,pending,East
457,2025-10-27,58,15,7,69.93,0,pending,South
458,2024-11-06,198,8,5,449.95,0,refunded,East
459,2024-06-09,107,12,4,15.96,0,pending,South
460,2024-03-26,63,8,5,427.45,0.05,refunded,East
461,2025-03-01,123,22,9,359.91,0,completed,West
462,2025-08-27,70,16,2,474.98,0.05,completed,West
463,2025-04-26,144,1,2,1799.98,0,completed,North
464,2024-08-30,25,23,5,399.95,0,completed,South
465,2024-01-31,113,15,4,33.97,0.15,completed,South
466,2024-10-09,139,25,5,349.95,0,completed,West
467,2025-10-28,103,3,9,2677.42,0.15,completed,East
468,2024-08-26,69,16,3,749.97,0,completed,South
469,2025-07-23,18,11,9,224.91,0,completed,East
470,2025-05-16,93,14,6,28.44,0.05,completed,West
471,2025-06-19,154,1,6,4589.95,0.15,completed,South
472,2025-12-08,135,24,2,999.98,0,completed,South
473,2025-11-29,144,17,6,2159.95,0.1,completed,North
474,2024-11-16,113,11,4,89.96,0.1,pending,South
475,2025-09-29,27,2,4,2399.96,0,pending,North
476,2025-08-29,54,14,6,26.95,0.1,completed,East
477,2025-01-28,57,11,8,199.92,0,completed,East
478,2025-07-13,179,15,5,42.46,0.15,refunded,South
479,2025-04-10,177,18,8,1139.92,0.05,completed,East
480,2025-12-25,197,10,8,959.92,0,pending,West
481,2024-06-06,140,2,6,3239.95,0.1,pending,East
482,2024-02-04,131,6,4,113.96,0.05,completed,North
483,2024-04-25,82,12,3,11.97,0,completed,North
484,2025-06-20,112,18,3,449.97,0,refunded,East
485,2025-03-11,14,22,7,251.94,0.1,completed,East
486,2025-01-09,162,10,8,959.92,0,refunded,South
487,2025-03-03,3,12,3,11.37,0.05,completed,North
488,2025-02-26,134,15,3,29.97,0,completed,East
489,2025-11-20,7,19,6,4559.94,0.05,completed,West
490,2025-11-14,142,12,7,26.53,0.05,completed,North
491,2025-04-24,179,18,7,1049.93,0,pending,South
492,2025-06-20,32,14,7,34.93,0,pending,North
493,2024-05-20,30,18,7,1049.93,0,completed,North
494,2025-06-02,34,2,9,5129.91,0.05,refunded,East
495,2024-03-16,123,22,8,319.92,0,completed,West
496,2025-12-11,59,10,3,341.97,0.05,refunded,North
497,2025-03-30,28,24,3,1499.97,0,refunded,South
498,2025-05-20,189,19,10,6799.91,0.15,pending,South
499,2024-07-31,155,5,4,1199.96,0,completed,South
500,2024-12-14,146,24,2,899.98,0.1,pending,West
501,2025-08-16,12,17,8,3039.92,0.05,completed,East
502,2024-05-15,185,9,1,71.99,0.1,refunded,North
503,2024-02-14,43,17,6,2399.94,0,completed,South
504,2025-12-13,124,24,2,849.98,0.15,completed,East
505,2025-06-15,138,1,9,7289.92,0.1,completed,West
506,2025-02-01,76,9,10,799.9,0,completed,West
507,2025-05-07,61,14,6,25.45,0.15,completed,South
